250_c2_r3,1000_c2_r3,5000_c2_r4
NaN,NaN,NaN
NaN,NaN,NaN
2.220446e-16,0.00190772762877166,0
0.266531429080089,0.0137353692569266,0
0.633019958414689,0.0268940298523601,0
0.68089410577608,0.0415047161994517,0
0.728768253137472,0.0450497664301482,0
0.798539827940089,0.0453130634714979,0.0084104755997461
0.813854930524458,0.042154565,0.0432252732382133
0.812787421783165,0.022248244,0.0446692315036192
0.730066377568734,0,0.0461131897690251
0.471111257275372,0,0.0458945460560245
0.143977097475871,0,0.0456161004817089
0.0694251788056222,0,0.0453376549073932
0.0672490797166935,0,0.0405767168214846
2.19085823994318e-16,0,0.0192180769676672
2.04291943965909e-16,0,0
1.894980639375e-16,0,0
1.7470418390909e-16,0,0
1.59910303880682e-16,0,0
1.45116423852272e-16,0,0
1.30322543823863e-16,0,0
1.15528663795454e-16,0,0
1.00734783767044e-16,0,0
8.59409037386355e-17,0,0
7.11470237102261e-17,0,0
5.63531436818167e-17,0,0
4.15592636534078e-17,0,0
2.67653836249984e-17,0,0
1.19715035965895e-17,0,0
2.40553528365577e-18,0,0
1.50144842492484e-17,0,0
2.76234332148405e-17,0,0
4.02323821804331e-17,0,0
5.28413311460253e-17,0,0
6.54502801116179e-17,0,0
7.80592290772105e-17,0,0
9.06681780428027e-17,0,0
1.03277127008395e-16,0,0
1.15886075973988e-16,0,0
1.2849502493958e-16,0,0
1.41103973905173e-16,0,0
1.53712922870765e-16,0,0
1.66321871836357e-16,0,0
1.7893082080195e-16,0,0
1.91539769767542e-16,0,0
2.04148718733135e-16,0,0
2.16757667698727e-16,0,0
